Utterance,Recognition,Correct
Get a move block,Get a move block,1
Get a move block,Get a move block,1
Get a move block,Get a move block,1
Get a turn block,turn,0
Get a turn block,Get a turn block,1
Get a turn block,Get a turn block,1
Get a pen block,ken block,0
Get a pen block,Get a pen block,1
Get a pen block,Get a pen block,1
Get a color block,Get a color block,1
Get a color block,Get a color block,1
Get a color block,Get a color block,1
Connect block 2 under block 1,block 2 under block 1,0
Connect block 2 under block 1,Connect block 2 under block 1,1
Connect block 2 under block 1,Connect block 2 under block 1,1
Connect block 2 inside block 1,connect to inside block 1,0
Connect block 2 inside block 1,Connect block 2 inside block 1,1
Connect block 2 inside block 1,Connect block 2 inside block 1,1
Change right in block 1 to left,change right in block 1 2,0
Change right in block 1 to left,Change right in block 1 to left,1
Change right in block 1 to left,change write in block 1 to laugh,0
Change 90 in block 1 to 144,Change 90 in block 1 to 144,1
Change 90 in block 1 to 144,turns 90 in block 1 to 144,0
Change 90 in block 1 to 144,is 90 + 1 to 144,0
Change 4 in block 1 to 5,4 + 1 to 5,0
Change 4 in block 1 to 5,24125,0
Change 4 in block 1 to 5,change 4 + 1 to 5,0
Delete block 1,delete part 1,0
Delete block 2,delete part 2,0
Delete block 3,delete pop3,0
Delete block 4,Delete block 4,1
Delete block 5,delete block 5,0
get a move block,get a move block,1
delete block 1,delete farquad,0
run the program,run the program,1
go to the next level,go to the next level,1
get a move block,remove flag,0
get a move block,get a move block,1
run the program,run the program,1
get a turn block,turn by turn,0
get a turn block,jetta turn the heart,0
get a turn block,get a turn block,1
run the program,run the program,1
get a move block,get a move block,1
run the program,run the program,1
go to the next level,go to the next level,1
get a move block,get a move block,1
get a turn block,gotta turn the hawk,0
get a turn block,data turn blog,0
get a turn block,get a turnpike,0
get a turn block,data turn block,0
get a turn block,get a turn block,1
get a move block,get a move block,1
get a turn block,get a turn block,1
delete block 1,delete la crosse,0
delete block 1,delete pokemon,0
delete block 1,miquelon,0
delete block 1,delete block swan,0
delete block 1,delete block 1,1
delete block 2,delete part 2,0
delete block 2,delete block 2,1
delete block 5,delete block 5,1
get a repeat block,get a repeat block,1
run the program,run the program,1
connect block 4 under block 3,9400 block street,0
connect block 4 under block 3,neck block 4 under block 3,0
connect block 4 under block 3,connectbot 4 under block 3,0
connect block 4 under block 3,neck block1 9400 bucks street,0
connect block 4 under block 3,connect block 4 under block 3,1
connect block 3 inside block 6,block 3 inside block 6,0
connect block 3 inside of block 6,connect block 3 inside of block 6,1
run the program,run the program,1
stay on this level,stay on this level,1
Get a move block,get a move block,1
Get a move block,didn't move block,0
Get a move block,get a move on,0
Get a turn block,crossword,0
Get a turn block,get a turn block,1
Get a turn block,did it turn block,0
Get a pen block,get up and block,0
Get a pen block,get up and block,0
Get a pen block,the app and block,0
Get a color block,little car wash,0
Get a color block,did a color block,0
Get a color block,hidden color block,0
Connect block 2 under block 1,connect block 2 under block 1,1
Connect block 2 under block 1,connect block 2 under block 1,1
Connect block 2 under block 1,connect block 2 on your block 1,0
Connect block 2 inside of block 1,track flight to inside of rock 1,0
Connect block 2 inside of block 1,connectbot to inside of block 1,0
Connect block 2 inside of block 1,the next block 2 under block 1,0
Change right in block 1 to left,change right and block 1 color,0
Change right in block 1 to left,change right and block 1 to left,1
Change right in block 1 to left,change white and block ones i left,0
Change 90 in block 1 to 144,90 + 1 to 144,0
Change 90 in block 1 to 144,change 90 in block 1 to 144,1
Change 90 in block 1 to 144,change 90 and block 1 to 1:44,0
Change 4 in block 1 to 5,change 4 in block 1 to 5,1
Change 4 in block 1 to 5,4 + block on tv,0
Change 4 in block 1 to 5,24 + block 125,0
Delete block 1,delete block 1,0
Delete block 2,delete block 2,1
Delete block 3,delete blackberry,0
Delete block 4,delete block 4,1
Delete block 5,delete park five,0
Get a move block,Get a move block,1
Get a move block,Get a move block,1
Get a move block,Get a move block,1
Get a turn block,Get a turn block,1
Get a turn block,Get a turn block,1
Get a turn block,Get a turn block,1
Get a pen block,get a pin block,0
Get a pen block,get a pin block,0
Get a pen block,get a pin block,0
Get a color block,Get a color block,1
Get a color block,Get a color block,1
Get a color block,Get a color block,1
Connect block 2 under block 1,connectbot two under block 1,0
Connect block 2 under block 1,connect block 2 under block 1,1
Connect block 2 under block 1,connect block 2 under block 1,1
Connect block 2 inside of block 1,connect block 2 inside of block 1,1
Connect block 2 inside of block 1,connect block 2 inside of block 1,1
Connect block 2 inside of block 1,connect block 2 inside of block 1,1
Change right in block 1 to left,Change right in block 1 to left,1
Change right in block 1 to left,Change right in block 1 to left,1
Change right in block 1 to left,change write in block 1 to left,0
Change 90 in block 1 to 144,change 90 + 1 to 144,0
Change 90 in block 1 to 144,change 90 in 1 to 1:44,0
Change 90 in block 1 to 144,change 90 + 1 to 144,0
Change 4 in block 1 to 5,Change 4 in block 1 to 5,1
Change 4 in block 1 to 5,change 4 + 1 to 5,0
Change 4 in block 1 to 5,Change 4 in block 1 to 5,1
Delete block 1,Delete block 1,1
Delete block 2,Delete block 2,1
Delete block 3,Delete block 3,1
Delete block 4,Delete block 4,1
Delete block 5,Delete block 5,1