Utterance,Recognition,Name,Correct?,Verb,Extra notes,116,,,,
get a move block,get a move block,Ara,1,G,,,,,,
get a turn block,pattern block,Ara,0,G,,,,,,
get a repeat block,go to repeat block,Ara,0,G,,,,,,
get a repeat block,get repeat block,Ara,0,G,,,,,,
connect block 3 under block 2,connect block 3 under block 2,Ara,1,C,,,,,,
connect block 3 under block 2,connect block 300 block 2,Ara,0,C,,,,,,
connect block 2 under block 1,connect block 2 under block 1,Ara,1,C,,,,,,
connect block 3 under block 2,connect block 300 block 2,Ara,0,C,,,,,,
connect block 4 under block 3,connect block 400 block 3,Ara,0,C,,,,,,
change 4 in block 1 to 5,4 + block 1 to 5,Ara,0,H,,,,,,
change 4 in block 1 to 3,change 4 in block 1 2 3,Ara,0,H,,,,,,
change 4 in block 1 to 1,change 4 in block 1 to one,Ara,0,H,,,,,,
change right in block 6 to left,change right and block 6 to left,Ara,0,H,,,,,,
change right in block 6 to left,change white and block 6 to left,Ara,0,H,,,,,,
change left in block 6 to right,change left in block 6 to write,Ara,0,H,,,,,,
connect block 2 inside block 1,connect to inside block 1,Ara,0,C,,,,,,
connect block 2 inside block 1,connect block 2 inside block 1,Ara,1,C,,,,,,
connect block 3 inside block 1,connect block 3 inside block 1,Ara,1,C,,,,,,
connect block 5 under block 2,connect block 5 under plus 2,Ara,0,C,,,,,,
connect block 5 under block 2,connect block 500 block 2,Ara,0,C,,,,,,
get a turn block,turn block,Evan,0,G,,,,,,
get a pen block,get up and block,Evan,0,G,,,,,,
get a pen block,get a pen block,Evan,1,G,,,,,,
get a color block,get a color block,Evan,1,G,,,,,,
connect block 2 under block 1,connect block 2 under block 1,Evan,1,C,,,,,,
connect block 4 under block 3,connect block 4 under block 3,Evan,1,C,,,,,,
connect block 2 inside block 4,connect block 2 in sidewalk 4,Evan,0,C,,,,,,
connect block 2 inside block 4,connect block 2 inside block 4,Evan,1,C,,,,,,
connect block 1 inside block 3,connect block 1 in sidewalk 3,Evan,0,C,,,,,,
connect block 2 inside block 4,connect block 2 inside block 4,Evan,1,C,,,,,,
change 4 in block 4 to 5,change 4 + block 4 to 5,Evan,0,H,,,,,,
change 4 in block 4 to 5,change foreign block 4 to 5,Evan,0,H,,,,,,
change 4 in block 4 to 5,change 4 in block 4 to 5,Evan,1,H,,,,,,
change 5 in block 4 to 6,change 5 + block ford to 6,Evan,0,H,,,,,,
change right in block 5 to left,write in block 52 lot,Evan,0,H,,,,,,
change right in block 5 to left,change your right and block 5 to left,Evan,0,H,,,,,,
change right in block 5 to left,change right in block 5 to laugh,Evan,0,H,,,,,,
change right in block 5 to left,change right in block 5 to left,Evan,1,H,,,,,,
change 90 in block 6 to 120,change 90 in block 6-2 120,Evan,0,H,,,,,,
change 90 in block 6 to 120,change 90 in box 6 to 1:20,Evan,0,H,,,,,,
change 90 in block 6 to 120,change 90 in lakhs 6 to 1:20,Evan,0,H,,,,,,
change 90 in block 6 to 120,change 90 in block 6 to 1:20,Evan,0,H,,,,,,
change 90 in block 6 to 120,change 90 in lakhs 6 to 1:20,Evan,0,H,,,,,,
delete block 1,delete block 1,Evan,1,D,,,,,,
delete block 4,delete block war,Evan,0,D,,,,,,
get a pen block,get up and block,Evan,0,G,,,,,,
change up in block 5 to down,change a pin block 5 to down,Evan,0,H,,,,,,
change up in block 5 to down,change up in block 5 to down,Evan,1,H,,,,,,
run the program,run the program,Evan,1,R,,,,,,
get a move block,move block,David,0,G,,,,,,
go to the next level,level,David,0,N,,,,,,
get a move block,get a move block,David,1,G,,,,,,
get a turn block,greta turn block,David,0,G,,,,,,
get a move block,get a move blbock,David,0,G,,,,,,
connect block 2 under block 1,text block 2 under block 1,David,0,C,,,,,,
connect block 2 under block 1,connect loc to under block 1,David,0,C,,,,,,
connect block 2 under block 1,connect block 2 under block 1,David,1,C,,,,,,
connect block 3 under block 2,connect block 3 under blog to,David,0,C,,,,,,
connect block 3 under block 2,k'nex block 3 under blocks 2,David,0,C,,,,,,
connect block 3 under block 2,connect block 300 block 2,David,0,C,,,,,,
connect block 3 under block 2,3 under block 2,David,0,C,,,,,,
connect block 3 under block 2,connect block 3 under blog to,David,0,C,,,,,,
connect block 3 under block 2,connect block 3-under block 2,David,0,C,so close why,,,,,
connect block 3 under block 2,connect block 3 under block 2,David,1,C,,,,,,
get a turn block,get hr block,David,0,G,,,,,,
connect block 3 inside block 1,xbox 3 inside block 1,David,0,C,,,,,,
connect block 2 under block 3,connect block 2 under block 3,David,1,C,,,,,,
change right in block 3 to left,change right and block 3 to left,David,0,H,,,,,,
change right in block 3 to left,change right in block 3 to left,David,1,H,,,,,,
get a turn block,jetta turn block,David,0,G,,,,,,
get a turn block,return blcok,David,0,G,,,,,,
get a turn block,turn block,David,0,G,,,,,,
get a turn block,turn blog,David,0,G,,,,,,
connect block 5 inside block 1,text block 5 inside block 1,David,0,C,at Object.SpeechBlocks.BlockUtils.getBlocksInChain (block_utils.js:37),,,,,
change right in block 6 to left,change right in block 2,David,0,H,at Blockly.Events.fireNow_ (blockly_compressed.js:1256),,,,,
change right in block 2 to left,change right and block 2 to left,David,0,H,,,,,,
change right in block 6 to left,write in block 6 to left,David,0,H,,,,,,
change right in block 6 to left,change right in block 6 to left,David,1,H,,,,,,
connect block 6 under block 5,k'nex block 6 under block 5,David,0,C,,,,,,
connect block 6 under block 5,connect block 6 under block 5,David,1,C,,,,,,
run the program,the program,David,0,R,,,,,,
get a turn block,today a turn block,Trace,0,G,,,,,,
get a turn block,get a turn clock,Trace,0,G,,,,,,
get a turn block,can you turn block,Trace,0,G,,,,,,
add a repeat block,getting repeat blocks,Trace,0,G,,,,,,
connect block 1 under block 2,connect block line under black 2,Trace,0,C,,,,,,
connect block 5 under block 6,connect block 5-under block sex,Trace,0,C,,,,,,
delete block 2,free block tube,Trace,0,D,,,,,,
delete block 3,delete walkthrough,Trace,0,D,,,,,,
delete block 4,delete block force,Trace,0,D,,,,,,
run the program,unity on the program,Trace,0,R,,,,,,
change 2 in block 1 to 3,change to in block 1 2 3,Trace,0,H,,,,,,
change 4 in block 1 to 5,change 4 + block 1 to 2,Trace,0,H,,,,,,
change 5 in block 1 to 360,change 5 in block 1 to 360,Trace,1,H,,,,,,
connect block 1 under block 2,connect block 100 block 2,Trace,0,C,,,,,,
connect block 2 under block 3,text block 2 under block 3,Trace,0,C,,,,,,
connect block 3 under block 4,nextflix free under block 4,Trace,0,C,,,,,,
connect block 4 under block 5,connect block 4 under block v,Trace,0,C,,,,,,
connect block 5 under block 6,kinect block 500 black 6,Trace,0,C,,,,,,
connect block 1 inside block 2,connect clock 1 inside block 2,Trace,0,C,,,,,,
connect block 1 inside block 2,connect block 1 inside black tooth,Trace,0,C,,,,,,
connect block 1 inside block 2,connect block 1 inside clock to,Trace,0,C,,,,,,
connect block 1 inside block 2,connect clock 1 inside block 2,Trace,0,C,,,,,,
change right in block 3 to left,change rate in block 3 to left,Trace,0,H,,,,,,
change 90 in block 3 to 1,change 90 in block 3 2 1 ,Trace,0,H,,,,,,
change 1 in block 3 to 45,change 1 in block 3 245,Trace,0,H,,,,,,
change 45 in block 3 to 72,change 45 in block 3 to say 2,Trace,0,H,,,,,,
change 72 in block 3 to 90,change 72 in block 3 290,Trace,0,H,,,,,,
change 90 in block 3 to 144,change 90 in block 3 to 1:44,Trace,0,H,,,,,,
get a move block,get a move on,Sahib,0,G,,,,,,
get a turn block,ghetto torn block,Sahib,0,G,,,,,,
get a turn block,garrett on block,Sahib,0,G,,,,,,
get a turn block,tattoo pattern block,Sahib,0,G,,,,,,
get a turn block,jetta turn block,Sahib,0,G,,,,,,
get a repeat block,ng repeat block,Sahib,0,G,,,,,,
connect block 5 under block 6,connect block 500 block sex,Sahib,0,C,LOL,,,,,
connect block 7 under block 8,connect block 700 lot 8,Sahib,0,C,,,,,,
change 4 in block 7 to 100,change 4 + block 7 to 100,Sahib,0,H,,,,,,
change 4 in block 8 to 124,change 4 in blockhead to 124,Sahib,0,H,,,,,,
change 5 in block 6 to 124,fire in block 6 to 124,Sahib,0,H,,,,,,
change right in block 5 to left,change write in block 5 to laugh,Sahib,0,H,,,,,,
change 90 in block 5 to 45,95 to 45,Sahib,0,H,,,,,,
change 45 in block 5 to 90 degrees,change 45 pin block 5 to 90 degrees,Sahib,0,H,,,,,,
change 90 degrees in block 5 to 45,change 90 degrees in block 5 245,Sahib,0,H,,,,,,
connect block 4 inside block 6,connect block 4 inside block sex,Sahib,0,C,I don't think this is really appropriate for children,,,,,
connect block 5 inside block 7,connect block fire inside block 7,Sahib,0,C,,,,,,
delete block 5,delete block price,Sahib,0,D,,,,,,
delete bock 10,delete glock 10,Sahib,0,D,,,,,,
get a move block,got to move block,Sahib,0,G,,,,,,
get a pen block,panda,Sahib,0,G,,,,,,
get a pen block,get up and block,Sahib,0,G,,,,,,
get a pen block,death of ken block,Sahib,0,G,,,,,,
change red in block 1 to blue,change red to blue and block 1,Sahib,0,H,,,,,,
change red in block 1 to green,change red and block 1/2 green,Sahib,0,H,,,,,,
change up in block 2 to down,change up in block 2 $2,Sahib,0,H,,,,,,
change down in block 2 to up,change down in block tutuapp,Sahib,0,H,,,,,,
